"","index","Year","Goal","Goal0","Author_original","Author_first","Author_firstname","AuthorType","Gender","Title"
"399","dsa405",2022,"Research","Research","Uisato","",NA,"association","unknown","Transforming Realtime Air Quality and Asteroid Data into MIDI"
"400","dsa406",2012,"Art","Art","Wayne Grim","Wayne Grim","Wayne","single","male","Transit of Venus"
"401","dsa407",2019,"Research","Research","Markus J. Buehler, MIT","Markus Buehler","Markus","multiple","male","Translating Proteins into sound for designing new proteins"
"402","dsa408",2013,"Research","Research","Hannah Davis","Hannah Davis","Hannah","single","female","TransProse"
"403","dsa409",2017,"Public Engagement","Engagement","SYSTEM Sounds","Andrew Santaguida","Andrew","association","male","Trappist - 1 Play"
"404","dsa410",2017,"Public Engagement","Engagement","SYSTEM Sounds","Andrew Santaguida","Andrew","association","male","TRAPPIST-1"
"405","dsa411",2015,"Art","Art","Nelson Guda","Nelson Guda","Nelson","single","male","Threshold"
"406","dsa412",2018,"Public Engagement","Engagement","SYSTEM Sounds","Andrew Santaguida","Andrew","association","male","True Love Waits - The inner solar system plays Radiohead saddest song"
"407","dsa413",2017,"Art","Art","Alexis Kirke","Alexis Kirke","Alexis","single","male","trumpTones - sonification of a President"
"408","dsa414",2019,"Data Analysis","Research","Alan Smith, Financial Times","Alan Smith","Alan","multiple","male","Turning the yield curve into"
"409","dsa415",2012,"Art","Art","HEAVYLISTENING, German National Radio, CITEC Bielefeld, and Sound Studies at University of the Arts Berlin","Anselm Venezian_Nehls","Anselm","multiple","male","Tweetscapes"
"410","dsa416",2020,"Public Engagement","Engagement","Jamie Perera","Jamie Perera","Jamie","single","male","Twelve Thousand Years in Fragments"
"411","dsa417",2022,"Research","Research","Joachim Allhoff","Joachim Allhoff","Joachim","single","male","Twitter data with hashtag #photography"
"412","dsa418",2011,"Research","Research","Sam Harman","Sam Harman","Sam","single","male","Twittersynth/ Twinthesis"
"413","dsa419",2019,"Public Engagement","Engagement","DataVized Technology and Google News Initiative","Christian Vogel","Christian","multiple","male","Two Tone"
"414","dsa420",2015,"Art","Art","Brian Foo","Brian Foo","Brian","single","male","Two Trains"
"415","dsa421",2011,"Data Journalism","Engagement","Jacob Goldstein and David Kestenbaum, Planet Money/NPR","Jacob Goldstein","Jacob","multiple","male","U.S. Home Prices, Sung As Opera"
"416","dsa422",2020,"Public Engagement","Engagement","Jordan Wirfs-Brock","Jordan Wirfs-Brock","Jordan","single","male","Unemployment rate"
"417","dsa423",2020,"Research","Research","Robert Dzudzar and Niko Sarcevic","Robert Dzudzar","Robert","multiple","male","Using Astronify to sonify galaxy data
"
"418","dsa425",2015,"Data Analysis","Research","Samuel Van Ransbeeck","Samuel Van_Ransbeeck","Samuel","single","male","Vapourwaves"
"419","dsa426",2017,"Data Journalism","Engagement","Sophie Chou","Sophie Chou","Sophie","single","female","Victims of US gun shooting"
"420","dsa427",2020,"Research","Research","Markus J. Buehler, MIT","Markus Buehler","Markus","multiple","male","Viral Counterpoint of the COVID19 Spike Protein"
"421","dsa428",2005,"Public Engagement","Engagement","BBC","Daniel Jackson","Daniel","association","male","Volcano Sonification"
"422","dsa429",2021,"Art","Art","Rafael Bresciani","Rafael Bresciani","Rafael","single","male","Vox Aeterna - The COVID Variations"
"423","dsa430",2019,"Data Analysis","Research","Jeff Cooke, Jeff Hannam (RMIT, Melbourne, Australia), Garry Foran (Swinburne University, Melbourne)","Jeff Cooke","Jeff","multiple","male","VoxMagellan"
"424","dsa431",2014,"Public Engagement","Engagement","Domenico Vicinanza- Geant Sounds","Domenico Vicinanza","Domenico","single","male","Voyager 1 & 2 spacecraft duet"
"425","dsa432",2020,"Art","Art","Band of Weeds","Kalle Hamm","Kalle","multiple","male","Waiting for the Extinction :-("
"426","dsa433",2010,"Accessibility","Research","Martin Quinn","Marty Quinn","Marty","single","male","Walk on the Sun"
"427","dsa434",2015,"Research","Research","Marty Quinn","Marty Quinn","Marty","single","male","Water Viz"
"428","dsa435",2014,"Accessibility","Research","Quintronics","Robert Rolston","Robert","association","male","Weather for the blind"
"429","dsa436",2018,"Research","Research","Matt McCorkle","Matt McCorkle","Matt","single","male","Weather Machine"
"430","dsa437",2018,"Research","Research","Google AI + NOAA (National Oceanic and Atmospheric Administration), Matt Harvey with Jiayang Liu, Julie Cattiau, Aren Jansen, Rif A. Saurous, and Lauren Harrell ","Matt Harvey","Matt","multiple","male","Whales Call"
"431","dsa438",2010,"Data Analysis","Research","andrut","andrut","andrut","single","male","What different sorting algorithms sound like"
"432","dsa439",2017,"Art","Art","Sara Lenzi","Sara Lenzi","Sara","single","female","While I was not there"
"433","dsa440",2012,"Art","Art","Baudu, Templier & Bloques","Antoine CHEVRIER","Antoine","multiple","male","WikiIRC ou la sonification de Wikipedia"
"434","dsa441",2019,"Art","Art","Jon Bellona","Jon Bellona","Jon","single","male","Wildfire"
"435","dsa442",2018,"Public Engagement","Engagement","Cristian Vogel/Ekometic","Cristian Vogel","Cristian","multiple","male","WordSound"
"436","dsa443",2012,"Research","Research","Monoroch","",NA,"association","unknown","World earthquakes"
"437","dsa444",2011,"Art","Art","Bartholomaeus Traubeck","Bartholomaeus Traubeck","Bartholomaeus","single","male","Years"
"438","dsa445",2013,"Art","Art","Brian House","Brian House","Brian","single","male","You will have to take my word for it"
"439","dsa446",2023,"Public Engagement","Engagement","Berit Kruse, Christian Basl","Berit Kruse","Berit","multiple","female","Sonifriday: This is a man's world (almost)"
"440","dsa447",2023,"Public Engagement","Engagement","Nessun Dharma (Matteo Bonera and Michele Zuccarelli Gennasi)","Matteo Bonera","Matteo","multiple","male","Land Music"
"441","dsa448",2023,"Public Engagement","Engagement","Nessun Dharma (Matteo Bonera and Michele Zuccarelli Gennasi)","Matteo Bonera","Matteo","multiple","male","Requiem 448"
"442","dsa449",2023,"Public Engagement","Engagement","Jalil Cervantes aka ""Jaxcan""","Jalil Cervantes","Jalil","single","male","Biokāu: Music Generated by Plants From San Luis Potosí "
"443","dsa450",2023,"Art","Art","Philip Bergstrom","Philip Bergstrom","Philip","single","male","Solar System Orbital data"
"444","dsa451",2023,"Public Engagement","Engagement","NASA/CXC/SAO/K.Arcand, SYSTEM Sounds (M. Russo, A. Santaguida)","Matt Russo","Matt","multiple","male","Cosmic Harmonies: Sonifications From NASA Telescopes"
"445","dsa452",2023,"Art","Art","Future Ecologies","Mendel Skulski","Mendel","association","male","Spiders Song: The Music of Evolution (Phylogenetic Sonification)"
"446","dsa453",2023,"Art","Art","Adomas Palekas","Adomas Palekas","Adomas","single","male","Human Myozin III Protein Sonification"
"447","dsa454",2023,"Data Journalism","Engagement","Berit Kruse, Christian Basl","Berit Kruse","Berit","multiple","female","Sonifriday: How we echo"
"448","dsa455",2023,"Data Journalism","Engagement","Berit Kruse, Christian Basl","Berit Kruse","Berit","multiple","female","Sonifriday: From sky to glass"
"449","dsa456",2023,"Data Journalism","Engagement","Berit Kruse, Christian Basl","Berit Kruse","Berit","multiple","female","Sonifriday: Early birds"
"450","dsa457",2023,"Public Engagement","Engagement","Christian Basl","Christian Basl","Christian","single","male","DataSonifyer"
"451","dsa458",2023,"Research","Research","Carlos Pacheco","Carlos Pacheco","Carlos","single","male","NOAA sea surface temperature 1981 - 2022"
"452","dsa459",2023,"Art","Art","Mia Forrest","Mia Forrest","Mia","single","female","Seasons"
"453","dsa460",2023,"Research","Research","Leif Karlstrom","Leif Karlstrom","Leif","single","male","The 2008-2018 eruption of Kīlauea volcano"
"454","dsa461",2023,"Research","Research","Leif Karlstrom","Leif Karlstrom","Leif","single","male","The 2018 caldera collapse sequence at Kīlauea volcano"
"455","dsa462",2023,"Research","Research","James Trayford, Chris Harrison, Nic Bonne","James Trayford","James","multiple","male","Stars Appear Above the Night Sky - Virtual Reality Version"
"456","dsa463",2023,"Research","Research","James Trayford, Chris Harrison","James Trayford","James","multiple","male","Hearing black hole winds"
"457","dsa464",2023,"Research","Research","James Trayford","James Trayford","James","single","male","Sonification of simulated galaxy properties from EAGLE simulations"
"458","dsa465",2023,"Research","Research","Benjamin Renard","Benjamin Renard","Benjamin","single","male","Floods and Heavy Precipitation in the World"
"459","dsa466",2023,"Research","Research","Carlos Pacheco","Carlos Pacheco","Carlos","single","male","Chile - R script - NOAA sea surface temperature as music 1981 - 2022"
"460","dsa467",2023,"Research","Research","Qingyu Zhang, Herun Chen","Qingyu Zhang","Qingyu","multiple","female","Stromatolive"
"461","dsa468",2023,"Art","Art","Qingyu Zhang, Linya Shi","Qingyu Zhang","Qingyu","multiple","female","The Cave"
"462","dsa469",2024,"Data Journalism","Engagement","Duncan Geere & Miriam Quick (Loud Numbers)","Duncan Geere","Duncan","multiple","male","Hold the Line"
"463","dsa470",2024,"Research","Research","Liuhuaying Yang","Liuhuaying Yang","Liuhuaying","single","female","Heat Chords: Strains of Stress"
"464","dsa471",2024,"Data Journalism","Engagement","Chris Harrison, James Trayford and Rose Shepherd","Chris Harrison","Chris","multiple","male","A Sonification of the Warming Stripes"
"465","dsa472",2024,"Research","Research","James Trayford","James Trayford","James","single","male","Voter intention polling - 2020 to 2024 UK General Election"
"466","dsa473",2024,"Research","Research","James Trayford","James Trayford","James","single","male","Gravitational Wave Sky Virtual Reality Sonification"
"467","dsa474",2024,"Public Engagement","Engagement","Rose Shepherd, Chris Harrison and James Trayford","Rose Shepherd","Rose","multiple","female","Sonification of Growing Black Hole"
"468","dsa475",2024,"Research","Research","Benjamin Renard","Benjamin Renard","Benjamin","single","male","Be Kind, Rewind!"
"469","dsa476",2024,"Public Engagement","Engagement","NASA/CXC/SAO/K.Arcand, SYSTEM Sounds (M. Russo, A. Santaguida)","Matt Russo","Matt","multiple","male","Listen to the Universe's Past"
"470","dsa477",2024,"Research","Research","Carlos Pacheco","Carlos Pacheco","Carlos","single","male","Italia - R script - NOAA sea surface temperature as music 1981 - 2022"
